No Pain/00-100_CTC03 HR1 15-18 _0.jpg, 0:0, no pain, 0.68628 
No Pain/face_clean_MVI_0170_23m32s27f.jpg, 23:32, no pain, 0.80465 
No Pain/face_clean_MVI_0170_23m40s28f.jpg, 23:40, no pain, 0.71852 
No Pain/face_clean_MVI_0170_23m42s09f.jpg, 23:42, no pain, 0.54429 
No Pain/face_clean_MVI_0170_23m49s29f.jpg, 23:49, no pain, 0.65316 
No Pain/face_clean_MVI_0170_24m02s15f.jpg, 24:02, no pain, 0.84780 
No Pain/face_clean_MVI_0170_24m05s01f.jpg, 24:05, no pain, 0.90679 
No Pain/face_clean_MVI_0170_24m56s23f.jpg, 24:56, no pain, 0.97175 
No Pain/face_clean_MVI_0170_25m44s24f.jpg, 25:44, no pain, 0.91983 
No Pain/face_clean_MVI_0170_25m48s05f.jpg, 25:48, no pain, 0.93773 
No Pain/face_clean_MVI_0170_25m54s30f.jpg, 25:54, no pain, 0.88755 
No Pain/face_clean_MVI_0170_26m02s10f.jpg, 26:02, no pain, 0.96987 
No Pain/face_clean_MVI_0170_26m09s24f.jpg, 26:09, no pain, 0.70940 
No Pain/face_clean_MVI_0170_26m15s07f.jpg, 26:15, no pain, 0.63234 
No Pain/face_clean_MVI_0170_26m19s07f.jpg, 26:19, no pain, 0.81236 
No Pain/face_clean_MVI_0170_26m26s18f.jpg, 26:26, no pain, 0.64444 
No Pain/face_clean_MVI_0170_26m30s14f.jpg, 26:30, no pain, 0.80325 
No Pain/face_clean_MVI_0170_26m38s20f.jpg, 26:38, no pain, 0.63901 
No Pain/face_clean_MVI_0170_26m42s22f.jpg, 26:42, pain, 0.61826 
No Pain/face_clean_MVI_0170_26m49s05f.jpg, 26:49, pain, 0.58263 
No Pain/face_clean_MVI_0170_26m56s06f.jpg, 26:56, no pain, 0.77249 
No Pain/face_clean_MVI_0170_26m56s26f.jpg, 26:56, pain, 0.72098 
No Pain/face_clean_MVI_0170_27m00s12f.jpg, 27:00, no pain, 0.79022 
No Pain/face_clean_MVI_0170_27m00s21f.jpg, 27:00, no pain, 0.76731 
No Pain/face_clean_MVI_0170_27m08s22f.jpg, 27:08, no pain, 0.64113 
No Pain/face_clean_MVI_0170_27m12s28f.jpg, 27:12, no pain, 0.59682 
No Pain/face_clean_MVI_0170_27m20s07f.jpg, 27:20, pain, 0.51764 
No Pain/face_clean_MVI_0170_27m22s20f.jpg, 27:22, no pain, 0.95134 
No Pain/face_clean_MVI_0170_27m29s02f.jpg, 27:29, pain, 0.55852 
No Pain/face_clean_MVI_0170_27m33s07f.jpg, 27:33, no pain, 0.75802 
No Pain/face_clean_MVI_0170_27m36s13f.jpg, 27:36, no pain, 0.86625 
No Pain/face_clean_MVI_0170_27m45s17f.jpg, 27:45, no pain, 0.83468 
No Pain/face_clean_MVI_0170_27m48s05f.jpg, 27:48, no pain, 0.67838 
No Pain/face_clean_MVI_0170_27m58s17f.jpg, 27:58, no pain, 0.91697 
No Pain/face_clean_MVI_0170_28m03s13f.jpg, 28:03, no pain, 0.88944 
No Pain/face_clean_MVI_0170_28m09s28f.jpg, 28:09, no pain, 0.87219 
No Pain/face_clean_MVI_0170_28m15s02f.jpg, 28:15, no pain, 0.85253 
No Pain/face_clean_MVI_0170_28m21s07f.jpg, 28:21, no pain, 0.88280 
No Pain/face_clean_MVI_0170_28m24s28f.jpg, 28:24, no pain, 0.72732 
No Pain/face_clean_MVI_0170_28m32s22f.jpg, 28:32, no pain, 0.78943 
No Pain/face_clean_MVI_0170_28m40s29f.jpg, 28:40, no pain, 0.74281 
No Pain/face_clean_MVI_0170_28m43s13f.jpg, 28:43, no pain, 0.71438 
No Pain/face_clean_MVI_0170_28m51s17f.jpg, 28:51, no pain, 0.74561 
No Pain/face_clean_MVI_0170_28m54s22f.jpg, 28:54, no pain, 0.87692 
No Pain/face_clean_MVI_0170_29m02s22f.jpg, 29:02, no pain, 0.87486 
No Pain/face_clean_MVI_0170_29m10s17f.jpg, 29:10, no pain, 0.70176 
No Pain/face_clean_MVI_0170_29m13s28f.jpg, 29:13, no pain, 0.91753 
No Pain/face_clean_MVI_0170_29m24s22f.jpg, 29:24, no pain, 0.86280 
No Pain/face_clean_MVI_0170_29m31s02f.jpg, 29:31, no pain, 0.94134 
No Pain/face_clean_MVI_0170_29m44s19f.jpg, 29:44, no pain, 0.94907 
No Pain/face_clean_MVI_0170_29m46s10f.jpg, 29:46, no pain, 0.85024 
No Pain/face_clean_MVI_0170_29m50s13f.jpg, 29:50, no pain, 0.88861 
No Pain/face_clean_MVI_0170_29m57s04f.jpg, 29:57, no pain, 0.87818 
No Pain/face_clean_MVI_0170_30m37s23f.jpg, 30:37, no pain, 0.93282 
No Pain/face_clean_MVI_0170_30m43s12f.jpg, 30:43, no pain, 0.76878 
No Pain/face_clean_MVI_0170_30m50s30f.jpg, 30:50, no pain, 0.59931 
No Pain/face_clean_MVI_0170_30m58s18f.jpg, 30:58, no pain, 0.95144 
No Pain/face_clean_MVI_0170_30m58s22f.jpg, 30:58, no pain, 0.90072 
No Pain/face_clean_MVI_0170_31m01s07f.jpg, 31:01, no pain, 0.91172 
No Pain/face_clean_MVI_0170_31m03s22f.jpg, 31:03, no pain, 0.92763 
No Pain/face_clean_MVI_0170_31m20s02f.jpg, 31:20, no pain, 0.82496 
No Pain/face_clean_MVI_0170_31m28s20f.jpg, 31:28, no pain, 0.72758 
No Pain/face_clean_MVI_0170_31m39s28f.jpg, 31:39, no pain, 0.90848 
No Pain/face_clean_MVI_0170_31m46s01f.jpg, 31:46, no pain, 0.69102 
No Pain/face_clean_MVI_0170_31m49s05f.jpg, 31:49, no pain, 0.94723 
No Pain/face_clean_MVI_0170_32m15s27f.jpg, 32:15, no pain, 0.86095 
No Pain/face_clean_MVI_0170_32m37s24f.jpg, 32:37, no pain, 0.86367 
No Pain/face_clean_MVI_0170_33m10s28f.jpg, 33:10, no pain, 0.75024 
No Pain/face_clean_MVI_0170_33m13s25f.jpg, 33:13, no pain, 0.80274 
No Pain/face_clean_MVI_0170_33m18s07f.jpg, 33:18, no pain, 0.94196 
No Pain/face_clean_MVI_0170_33m19s02f.jpg, 33:19, no pain, 0.68328 
No Pain/face_clean_MVI_0171_00m00s06f.jpg, 00:00, no pain, 0.85468 
No Pain/face_clean_MVI_0171_00m04s22f.jpg, 00:04, no pain, 0.78142 
No Pain/face_clean_MVI_0171_00m04s29f.jpg, 00:04, no pain, 0.56236 
No Pain/face_clean_MVI_0171_00m10s17f.jpg, 00:10, no pain, 0.78135 
No Pain/face_clean_MVI_0171_00m12s07f.jpg, 00:12, no pain, 0.78148 
No Pain/face_clean_MVI_0171_00m14s08f.jpg, 00:14, no pain, 0.88087 
No Pain/face_clean_MVI_0171_00m22s22f.jpg, 00:22, no pain, 0.88190 
No Pain/face_clean_MVI_0171_00m24s19f.jpg, 00:24, no pain, 0.84642 
No Pain/face_clean_MVI_0171_00m34s21f.jpg, 00:34, no pain, 0.85560 
No Pain/face_clean_MVI_0171_00m35s02f.jpg, 00:35, no pain, 0.74322 
No Pain/face_clean_MVI_0171_00m38s22f.jpg, 00:38, no pain, 0.62725 
No Pain/face_clean_MVI_0171_00m39s09f.jpg, 00:39, no pain, 0.98334 
No Pain/face_clean_MVI_0171_00m44s22f.jpg, 00:44, no pain, 0.70379 
No Pain/face_clean_MVI_0171_00m49s13f.jpg, 00:49, no pain, 0.62598 
No Pain/face_clean_MVI_0171_00m55s28f.jpg, 00:55, no pain, 0.82136 
No Pain/face_clean_MVI_0171_01m01s22f.jpg, 01:01, no pain, 0.73392 
No Pain/face_clean_MVI_0171_01m06s13f.jpg, 01:06, no pain, 0.64826 
No Pain/face_clean_MVI_0171_01m17s02f.jpg, 01:17, no pain, 0.77008 
No Pain/face_clean_MVI_0171_01m21s13f.jpg, 01:21, no pain, 0.76119 
No Pain/face_clean_MVI_0171_01m25s28f.jpg, 01:25, no pain, 0.91611 
No Pain/face_clean_MVI_0171_01m46s03f.jpg, 01:46, no pain, 0.82088 
No Pain/face_clean_MVI_0171_01m51s18f.jpg, 01:51, no pain, 0.97534 
No Pain/face_clean_MVI_0171_01m58s19f.jpg, 01:58, no pain, 0.87755 
No Pain/face_clean_MVI_0171_02m04s06f.jpg, 02:04, no pain, 0.57789 
No Pain/face_clean_MVI_0171_02m10s13f.jpg, 02:10, no pain, 0.74735 
No Pain/face_clean_MVI_0171_02m15s25f.jpg, 02:15, no pain, 0.77310 
No Pain/face_clean_MVI_0171_02m21s04f.jpg, 02:21, no pain, 0.59719 
No Pain/face_clean_MVI_0171_02m22s19f.jpg, 02:22, no pain, 0.94640 
No Pain/face_clean_MVI_0171_02m25s03f.jpg, 02:25, no pain, 0.73933 
No Pain/face_clean_MVI_0171_02m26s17f.jpg, 02:26, no pain, 0.55588 
No Pain/face_clean_MVI_0171_02m33s26f.jpg, 02:33, no pain, 0.92944 
No Pain/face_clean_MVI_0171_02m35s02f.jpg, 02:35, no pain, 0.74102 
No Pain/face_clean_MVI_0171_02m36s18f.jpg, 02:36, no pain, 0.61681 
No Pain/face_clean_MVI_0171_02m42s17f.jpg, 02:42, no pain, 0.83174 
No Pain/face_clean_MVI_0171_02m48s07f.jpg, 02:48, no pain, 0.78344 
No Pain/face_clean_MVI_0171_02m50s23f.jpg, 02:50, no pain, 0.95994 
No Pain/face_clean_MVI_0171_02m58s02f.jpg, 02:58, no pain, 0.86802 
No Pain/face_clean_MVI_0171_03m03s19f.jpg, 03:03, no pain, 0.83359 
No Pain/face_clean_MVI_0171_03m09s22f.jpg, 03:09, no pain, 0.64957 
No Pain/face_clean_MVI_0171_03m14s08f.jpg, 03:14, pain, 0.67932 
No Pain/face_clean_MVI_0171_03m20s14f.jpg, 03:20, no pain, 0.90523 
No Pain/face_clean_MVI_0171_03m28s30f.jpg, 03:28, pain, 0.51600 
No Pain/face_clean_MVI_0171_03m30s21f.jpg, 03:30, no pain, 0.76353 
No Pain/face_clean_MVI_0171_03m39s07f.jpg, 03:39, no pain, 0.96717 
No Pain/face_clean_MVI_0171_03m45s10f.jpg, 03:45, no pain, 0.72761 
No Pain/face_clean_MVI_0171_03m48s29f.jpg, 03:48, no pain, 0.77239 
No Pain/face_clean_MVI_0171_03m57s27f.jpg, 03:57, no pain, 0.75116 
No Pain/face_clean_MVI_0171_04m04s06f.jpg, 04:04, no pain, 0.90137 
No Pain/face_clean_MVI_0171_04m07s23f.jpg, 04:07, no pain, 0.55161 
No Pain/face_clean_MVI_0171_04m15s11f.jpg, 04:15, no pain, 0.92498 
No Pain/face_clean_MVI_0171_04m21s28f.jpg, 04:21, no pain, 0.86633 
No Pain/face_clean_MVI_0171_04m24s17f.jpg, 04:24, no pain, 0.90784 
No Pain/face_clean_MVI_0171_04m27s23f.jpg, 04:27, no pain, 0.55670 
No Pain/face_clean_MVI_0171_04m31s02f.jpg, 04:31, no pain, 0.62702 
No Pain/face_clean_MVI_0171_04m32s22f.jpg, 04:32, no pain, 0.79717 
No Pain/face_clean_MVI_0171_04m36s28f.jpg, 04:36, no pain, 0.89767 
No Pain/face_clean_MVI_0171_04m37s11f.jpg, 04:37, no pain, 0.91792 
No Pain/face_clean_MVI_0171_04m43s07f.jpg, 04:43, no pain, 0.77509 
No Pain/face_clean_MVI_0171_04m48s25f.jpg, 04:48, no pain, 0.73926 
No Pain/face_clean_MVI_0171_04m49s17f.jpg, 04:49, no pain, 0.72396 
No Pain/face_clean_MVI_0171_04m57s13f.jpg, 04:57, no pain, 0.81991 
No Pain/face_clean_MVI_0171_04m59s02f.jpg, 04:59, no pain, 0.72194 
No Pain/face_clean_MVI_0171_05m01s02f.jpg, 05:01, no pain, 0.68404 
No Pain/face_clean_MVI_0171_05m10s09f.jpg, 05:10, no pain, 0.76354 
No Pain/face_clean_MVI_0171_05m11s01f.jpg, 05:11, pain, 0.64692 
No Pain/face_clean_MVI_0171_05m13s07f.jpg, 05:13, no pain, 0.81986 
No Pain/face_clean_MVI_0171_05m16s02f.jpg, 05:16, no pain, 0.61020 
No Pain/face_clean_MVI_0171_05m20s21f.jpg, 05:20, pain, 0.50672 
No Pain/face_clean_MVI_0171_05m24s10f.jpg, 05:24, pain, 0.54261 
No Pain/face_clean_MVI_0171_05m25s30f.jpg, 05:25, no pain, 0.80228 
No Pain/face_clean_MVI_0171_05m33s04f.jpg, 05:33, no pain, 0.63602 
No Pain/face_clean_MVI_0171_05m38s10f.jpg, 05:38, no pain, 0.86024 
No Pain/face_clean_MVI_0171_05m46s10f.jpg, 05:46, no pain, 0.61730 
No Pain/face_clean_MVI_0171_05m46s28f.jpg, 05:46, no pain, 0.75582 
No Pain/face_clean_MVI_0171_05m51s03f.jpg, 05:51, no pain, 0.85999 
No Pain/face_clean_MVI_0171_05m56s17f.jpg, 05:56, no pain, 0.90196 
No Pain/face_clean_MVI_0171_06m04s13f.jpg, 06:04, no pain, 0.79744 
No Pain/face_clean_MVI_0171_06m10s09f.jpg, 06:10, no pain, 0.90670 
No Pain/face_clean_MVI_0171_06m10s28f.jpg, 06:10, no pain, 0.82931 
No Pain/face_clean_MVI_0171_06m13s02f.jpg, 06:13, no pain, 0.90635 
No Pain/face_clean_MVI_0171_06m16s30f.jpg, 06:16, no pain, 0.83133 
No Pain/face_clean_MVI_0171_06m20s12f.jpg, 06:20, no pain, 0.67604 
No Pain/face_clean_MVI_0171_06m23s02f.jpg, 06:23, no pain, 0.87352 
No Pain/face_clean_MVI_0171_06m24s22f.jpg, 06:24, no pain, 0.83338 
No Pain/face_clean_MVI_0171_06m26s22f.jpg, 06:26, no pain, 0.72264 
No Pain/face_clean_MVI_0171_06m30s28f.jpg, 06:30, no pain, 0.86537 
No Pain/face_clean_MVI_0171_06m40s29f.jpg, 06:40, no pain, 0.93461 
No Pain/face_clean_MVI_0171_06m43s24f.jpg, 06:43, no pain, 0.74801 
No Pain/face_clean_MVI_0171_06m48s13f.jpg, 06:48, no pain, 0.75486 
No Pain/face_clean_MVI_0171_06m48s28f.jpg, 06:48, no pain, 0.83123 
No Pain/face_clean_MVI_0171_06m57s28f.jpg, 06:57, no pain, 0.88721 
No Pain/face_clean_MVI_0171_07m03s25f.jpg, 07:03, no pain, 0.62886 
No Pain/face_clean_MVI_0171_08m24s06f.jpg, 08:24, no pain, 0.85399 
No Pain/face_clean_MVI_0171_08m30s13f.jpg, 08:30, no pain, 0.97503 
No Pain/face_clean_MVI_0171_08m36s10f.jpg, 08:36, no pain, 0.91782 
No Pain/face_clean_MVI_0171_08m42s25f.jpg, 08:42, no pain, 0.96873 
No Pain/face_clean_MVI_0171_09m04s10f.jpg, 09:04, no pain, 0.88013 
No Pain/face_clean_MVI_0171_09m11s01f.jpg, 09:11, no pain, 0.95710 
No Pain/face_clean_MVI_0171_09m13s24f.jpg, 09:13, no pain, 0.54126 
No Pain/face_clean_MVI_0171_09m22s18f.jpg, 09:22, no pain, 0.89564 
No Pain/face_clean_MVI_0171_09m26s22f.jpg, 09:26, no pain, 0.84513 
No Pain/face_clean_MVI_0171_09m33s29f.jpg, 09:33, no pain, 0.89310 
No Pain/face_clean_MVI_0171_09m36s11f.jpg, 09:36, no pain, 0.96209 
No Pain/face_clean_MVI_0171_09m47s02f.jpg, 09:47, pain, 0.51579 
No Pain/face_clean_MVI_0171_09m50s25f.jpg, 09:50, pain, 0.58941 
No Pain/face_clean_MVI_0171_09m57s18f.jpg, 09:57, no pain, 0.71396 
No Pain/face_clean_MVI_0171_10m00s28f.jpg, 10:00, no pain, 0.75876 
No Pain/face_clean_MVI_0171_10m07s25f.jpg, 10:07, no pain, 0.65452 
No Pain/face_clean_MVI_0171_10m13s21f.jpg, 10:13, no pain, 0.96280 
No Pain/face_clean_MVI_0171_10m22s13f.jpg, 10:22, pain, 0.67556 
No Pain/face_clean_MVI_0171_10m22s27f.jpg, 10:22, no pain, 0.88911 
No Pain/face_clean_MVI_0171_10m24s13f.jpg, 10:24, pain, 0.55075 
No Pain/face_clean_MVI_0171_10m24s22f.jpg, 10:24, no pain, 0.92245 
No Pain/face_clean_MVI_0171_10m30s22f.jpg, 10:30, no pain, 0.50274 
No Pain/face_clean_MVI_0171_10m33s09f.jpg, 10:33, no pain, 0.94076 
No Pain/face_clean_MVI_0171_10m45s25f.jpg, 10:45, no pain, 0.94666 
No Pain/face_clean_MVI_0171_10m49s25f.jpg, 10:49, no pain, 0.73896 
No Pain/face_clean_MVI_0171_10m56s25f.jpg, 10:56, no pain, 0.92458 
No Pain/face_clean_MVI_0171_11m02s13f.jpg, 11:02, no pain, 0.89368 
No Pain/face_clean_MVI_0171_11m09s26f.jpg, 11:09, no pain, 0.91150 
No Pain/face_clean_MVI_0171_11m10s21f.jpg, 11:10, no pain, 0.97026 
No Pain/face_clean_MVI_0171_11m12s08f.jpg, 11:12, no pain, 0.77916 
No Pain/face_clean_MVI_0171_11m15s05f.jpg, 11:15, no pain, 0.71171 
No Pain/face_clean_MVI_0171_11m23s02f.jpg, 11:23, no pain, 0.93246 
No Pain/face_clean_MVI_0171_11m24s07f.jpg, 11:24, no pain, 0.91326 
No Pain/face_clean_MVI_0171_11m28s26f.jpg, 11:28, no pain, 0.96349 
No Pain/face_clean_MVI_0171_11m31s09f.jpg, 11:31, no pain, 0.91463 
No Pain/face_clean_MVI_0171_11m31s28f.jpg, 11:31, no pain, 0.92361 
No Pain/face_clean_MVI_0171_11m38s11f.jpg, 11:38, no pain, 0.89613 
No Pain/face_clean_MVI_0171_11m39s22f.jpg, 11:39, no pain, 0.83307 
No Pain/face_clean_MVI_0171_11m44s25f.jpg, 11:44, no pain, 0.89897 
No Pain/face_clean_MVI_0171_11m52s09f.jpg, 11:52, no pain, 0.60438 
No Pain/face_clean_MVI_0171_11m58s06f.jpg, 11:58, no pain, 0.67034 
No Pain/face_clean_MVI_0171_12m02s17f.jpg, 12:02, no pain, 0.69075 
No Pain/face_clean_MVI_0171_12m09s20f.jpg, 12:09, no pain, 0.78322 
No Pain/face_clean_MVI_0171_12m10s11f.jpg, 12:10, no pain, 0.78130 
No Pain/face_clean_MVI_0171_12m12s14f.jpg, 12:12, no pain, 0.96139 
No Pain/face_clean_MVI_0171_12m14s10f.jpg, 12:14, no pain, 0.83518 
No Pain/face_clean_MVI_0171_12m34s21f.jpg, 12:34, no pain, 0.84502 
No Pain/face_clean_MVI_0171_12m36s11f.jpg, 12:36, no pain, 0.79900 
No Pain/face_clean_MVI_0171_12m43s10f.jpg, 12:43, no pain, 0.80094 
No Pain/face_clean_MVI_0171_12m45s16f.jpg, 12:45, no pain, 0.92077 
No Pain/face_clean_MVI_0171_12m48s17f.jpg, 12:48, no pain, 0.93124 
No Pain/face_clean_MVI_0171_12m54s17f.jpg, 12:54, no pain, 0.66715 
No Pain/face_clean_MVI_0171_13m03s22f.jpg, 13:03, no pain, 0.88971 
No Pain/face_clean_MVI_0171_13m06s10f.jpg, 13:06, no pain, 0.79711 
No Pain/face_clean_MVI_0171_13m13s13f.jpg, 13:13, no pain, 0.92388 
No Pain/face_clean_MVI_0171_14m25s13f.jpg, 14:25, no pain, 0.98173 
No Pain/face_clean_MVI_0171_14m34s13f.jpg, 14:34, no pain, 0.93260 
No Pain/face_clean_MVI_0171_14m36s09f.jpg, 14:36, no pain, 0.90844 
No Pain/face_clean_MVI_0171_15m04s26f.jpg, 15:04, no pain, 0.92484 
No Pain/face_clean_MVI_0171_15m06s03f.jpg, 15:06, no pain, 0.80688 
No Pain/face_clean_MVI_0171_15m22s19f.jpg, 15:22, no pain, 0.95298 
No Pain/face_clean_MVI_0171_15m25s20f.jpg, 15:25, no pain, 0.74437 
No Pain/face_clean_MVI_0171_15m33s10f.jpg, 15:33, no pain, 0.72289 
No Pain/face_clean_MVI_0171_15m40s18f.jpg, 15:40, no pain, 0.88888 
No Pain/face_clean_MVI_0171_15m46s05f.jpg, 15:46, no pain, 0.90808 
No Pain/face_clean_MVI_0171_15m48s05f.jpg, 15:48, no pain, 0.81353 
No Pain/face_clean_MVI_0171_15m55s17f.jpg, 15:55, no pain, 0.91339 
No Pain/face_clean_MVI_0171_16m49s19f.jpg, 16:49, no pain, 0.87723 
No Pain/face_clean_MVI_0171_16m56s14f.jpg, 16:56, no pain, 0.95351 
No Pain/face_clean_MVI_0171_18m22s28f.jpg, 18:22, no pain, 0.69510 
No Pain/face_clean_MVI_0171_18m25s13f.jpg, 18:25, no pain, 0.57526 
No Pain/face_clean_MVI_0171_18m35s02f.jpg, 18:35, pain, 0.55375 
No Pain/face_clean_MVI_0171_18m36s17f.jpg, 18:36, no pain, 0.56779 
No Pain/face_clean_MVI_0171_18m42s17f.jpg, 18:42, no pain, 0.56040 
No Pain/face_clean_MVI_0171_18m48s13f.jpg, 18:48, no pain, 0.59547 
No Pain/face_clean_MVI_0171_18m56s17f.jpg, 18:56, pain, 0.50594 
No Pain/face_clean_MVI_0171_19m01s09f.jpg, 19:01, no pain, 0.59751 
No Pain/face_clean_MVI_0171_21m16s25f.jpg, 21:16, no pain, 0.80315 
No Pain/face_clean_MVI_0171_21m20s02f.jpg, 21:20, no pain, 0.68238 
No Pain/face_clean_MVI_0171_21m27s28f.jpg, 21:27, no pain, 0.65721 
No Pain/face_clean_MVI_0171_21m34s17f.jpg, 21:34, no pain, 0.50467 
No Pain/face_clean_MVI_0171_21m40s17f.jpg, 21:40, no pain, 0.56780 
No Pain/face_clean_MVI_0171_21m43s02f.jpg, 21:43, no pain, 0.65011 
No Pain/face_clean_MVI_0171_21m48s28f.jpg, 21:48, pain, 0.56248 
No Pain/face_clean_MVI_0171_21m56s17f.jpg, 21:56, no pain, 0.51805 
No Pain/face_clean_MVI_0171_22m00s17f.jpg, 22:00, pain, 0.52183 
No Pain/face_clean_MVI_0171_23m51s20f.jpg, 23:51, no pain, 0.88718 
No Pain/face_clean_MVI_0171_23m57s07f.jpg, 23:57, no pain, 0.93954 
No Pain/face_clean_MVI_0171_23m58s17f.jpg, 23:58, pain, 0.60712 
No Pain/face_clean_MVI_0171_24m00s28f.jpg, 24:00, no pain, 0.91055 
No Pain/face_clean_MVI_0171_24m01s10f.jpg, 24:01, no pain, 0.55690 
No Pain/face_clean_MVI_0171_24m08s03f.jpg, 24:08, no pain, 0.58106 
No Pain/face_clean_MVI_0171_24m09s27f.jpg, 24:09, no pain, 0.91571 
No Pain/face_clean_MVI_0171_24m13s22f.jpg, 24:13, no pain, 0.83087 
No Pain/face_clean_MVI_0171_24m20s13f.jpg, 24:20, no pain, 0.85067 
No Pain/face_clean_MVI_0171_24m29s02f.jpg, 24:29, no pain, 0.93360 
No Pain/face_clean_MVI_0171_24m32s09f.jpg, 24:32, no pain, 0.85747 
No Pain/face_clean_MVI_0171_24m37s05f.jpg, 24:37, no pain, 0.92171 
No Pain/face_clean_MVI_0171_24m42s26f.jpg, 24:42, no pain, 0.88553 
No Pain/face_clean_MVI_0171_24m51s02f.jpg, 24:51, no pain, 0.86016 
No Pain/face_clean_MVI_0171_24m56s13f.jpg, 24:56, no pain, 0.90198 
No Pain/face_clean_MVI_0171_25m54s13f.jpg, 25:54, no pain, 0.97638 
No Pain/face_clean_MVI_0172_06m30s17f.jpg, 06:30, no pain, 0.92083 
No Pain/face_clean_MVI_0172_06m38s10f.jpg, 06:38, no pain, 0.90108 
No Pain/face_clean_MVI_0172_09m22s08f.jpg, 09:22, no pain, 0.91956 
No Pain/face_clean_MVI_0172_09m24s03f.jpg, 09:24, no pain, 0.77794 
No Pain/face_clean_MVI_0172_09m38s28f.jpg, 09:38, no pain, 0.70246 
No Pain/face_clean_MVI_0172_09m42s06f.jpg, 09:42, no pain, 0.67901 
No Pain/face_clean_MVI_0172_09m52s13f.jpg, 09:52, no pain, 0.87926 
No Pain/face_clean_MVI_0172_22m58s23f.jpg, 22:58, no pain, 0.89080 
No Pain/face_clean_MVI_0172_23m01s28f.jpg, 23:01, no pain, 0.74158 
No Pain/face_clean_MVI_0172_23m02s18f.jpg, 23:02, no pain, 0.87932 
No Pain/face_clean_MVI_0172_23m06s28f.jpg, 23:06, pain, 0.65981 
No Pain/face_clean_MVI_0172_23m16s23f.jpg, 23:16, no pain, 0.74613 
No Pain/face_clean_MVI_0172_23m18s13f.jpg, 23:18, no pain, 0.78124 
No Pain/face_clean_MVI_0172_23m37s19f.jpg, 23:37, no pain, 0.93083 
No Pain/face_clean_MVI_0172_24m04s05f.jpg, 24:04, no pain, 0.93682 
No Pain/face_clean_MVI_0172_26m01s12f.jpg, 26:01, no pain, 0.73790 
No Pain/face_clean_MVI_0172_26m09s02f.jpg, 26:09, no pain, 0.83467 
No Pain/face_clean_MVI_0172_26m21s21f.jpg, 26:21, no pain, 0.62184 
No Pain/face_clean_MVI_0172_26m22s27f.jpg, 26:22, no pain, 0.86935 
No Pain/face_clean_MVI_0172_26m24s23f.jpg, 26:24, pain, 0.52923 
No Pain/face_clean_MVI_0172_26m34s14f.jpg, 26:34, no pain, 0.65443 
No Pain/face_clean_MVI_0172_26m36s19f.jpg, 26:36, no pain, 0.72901 
No Pain/face_clean_MVI_0172_26m42s21f.jpg, 26:42, no pain, 0.75607 
No Pain/face_clean_MVI_0172_26m50s28f.jpg, 26:50, no pain, 0.67557 
No Pain/face_clean_MVI_0172_26m55s08f.jpg, 26:55, no pain, 0.84222 
No Pain/face_clean_MVI_0172_27m04s29f.jpg, 27:04, no pain, 0.94694 
No Pain/face_clean_MVI_0172_27m06s29f.jpg, 27:06, no pain, 0.72224 
No Pain/face_clean_MVI_0173_02m34s13f.jpg, 02:34, no pain, 0.67444 
No Pain/face_clean_MVI_0173_02m44s03f.jpg, 02:44, no pain, 0.65252 
No Pain/face_clean_MVI_0173_03m27s08f.jpg, 03:27, no pain, 0.74819 
No Pain/face_clean_MVI_0173_05m12s10f.jpg, 05:12, no pain, 0.91814 
No Pain/face_clean_MVI_0173_05m25s09f.jpg, 05:25, no pain, 0.81718 
No Pain/face_clean_MVI_0173_08m49s02f.jpg, 08:49, pain, 0.54546 
No Pain/face_clean_MVI_0173_09m25s20f.jpg, 09:25, no pain, 0.90417 
No Pain/face_clean_MVI_0173_09m32s13f.jpg, 09:32, no pain, 0.80736 
No Pain/face_clean_MVI_0173_09m33s05f.jpg, 09:33, no pain, 0.62494 
No Pain/face_clean_MVI_0173_09m46s10f.jpg, 09:46, no pain, 0.95627 
No Pain/face_clean_MVI_0173_09m48s24f.jpg, 09:48, no pain, 0.84143 
No Pain/face_clean_MVI_0173_11m21s22f.jpg, 11:21, no pain, 0.65865 
No Pain/face_clean_MVI_0173_11m29s02f.jpg, 11:29, no pain, 0.85589 
No Pain/face_clean_MVI_0173_11m31s10f.jpg, 11:31, no pain, 0.64201 
No Pain/face_clean_MVI_0173_11m36s27f.jpg, 11:36, no pain, 0.64329 
No Pain/face_clean_MVI_0173_11m44s29f.jpg, 11:44, no pain, 0.85574 
No Pain/face_clean_MVI_0173_11m52s25f.jpg, 11:52, no pain, 0.71275 
No Pain/face_clean_MVI_0173_11m56s20f.jpg, 11:56, no pain, 0.94673 
No Pain/face_clean_MVI_0173_11m58s26f.jpg, 11:58, no pain, 0.70602 
No Pain/face_clean_MVI_0173_12m01s14f.jpg, 12:01, no pain, 0.66430 
No Pain/face_clean_MVI_0173_12m37s13f.jpg, 12:37, no pain, 0.97167 
No Pain/face_clean_MVI_0173_12m54s21f.jpg, 12:54, no pain, 0.81257 
No Pain/face_clean_MVI_0173_17m09s17f.jpg, 17:09, no pain, 0.87928 
No Pain/face_clean_MVI_0173_17m19s26f.jpg, 17:19, no pain, 0.85107 
No Pain/face_clean_MVI_0173_20m56s08f.jpg, 20:56, no pain, 0.85718 
Pain/03-100_J06 BL 03-06 _3.jpg, 0:0, pain, 0.77107 
